Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C17, C26, C35, C4, C41",0603,8,1uF,
"C12, C23, C29, C38",0603,4,8p2,
"C18, C19, C21, C6",0603,4,100n,
"C25, C30, C40, C7",0603,4,2n2,
C3,0603,1,33p,
"C34, C39",0603,2,270p,
C5,0603,1,2p7,
D1,SOT-23,1,BAV99,
L1,0603,1,18nH,
L2,0603,1,BEAD,
L3,0603,1,120nH,
L4,0603,1,22nH,
R1,0603,1,4k7,
"R10, R11",0603,2,220,
"R2, R3, R4, R5, R8, R9",0603,6,100,
"R25, R26",0603,2,10k,
U1,SOT-23-5,1,MIC5504-1.8YM5,
U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,SI4684-A10-GM,
U5,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,TPA6130A2RTJTG4,TPA6130A2RTJTG4
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,19.2MHz,
