Designator,Mid X,Mid Y,Rotation,Layer
C1,106.68,-110.744,180.0,top
C12,121.9626,-113.6272,90.0,top
C14,119.634,-73.66,90.0,top
C15,127.762,-80.01,0.0,top
C17,124.1848,-106.4514,0.0,top
C18,121.412,-73.673,90.0,top
C19,127.762,-78.232,0.0,top
C21,127.749,-76.454,0.0,top
C23,113.0218,-101.7148,90.0,top
C25,111.193,-101.7148,90.0,top
C26,111.955,-99.1362,0.0,top
C29,109.3642,-101.7148,90.0,top
C3,123.9438,-117.0308,90.0,top
C30,107.5354,-101.7148,90.0,top
C34,132.588,-82.042,0.0,top
C35,108.5644,-99.1362,0.0,top
C38,110.0246,-105.1306,180.0,top
C39,132.461,-79.248,270.0,top
C4,109.982,-110.744,0.0,top
C40,110.0116,-106.9594,180.0,top
C41,110.0116,-108.8898,180.0,top
C5,120.083,-117.0556,270.0,top
C6,125.925,-113.6272,90.0,top
C7,123.9438,-113.6272,90.0,top
D1,123.0294,-123.444,0.0,top
L1,122.0134,-117.0431,90.0,top
L2,125.925,-117.0433,90.0,top
L3,118.1526,-117.0431,270.0,top
L4,116.1206,-117.0433,90.0,top
R1,117.793,-82.042,0.0,top
R10,128.905,-82.042,0.0,top
R11,130.556,-79.248,90.0,top
R2,114.808,-101.7148,90.0,top
R25,113.284,-117.094,90.0,top
R26,111.252,-117.094,90.0,top
R3,116.586,-101.7148,90.0,top
R4,118.364,-101.7148,90.0,top
R5,120.142,-101.7148,90.0,top
R8,121.412,-82.042,180.0,top
R9,125.159,-82.042,0.0,top
U1,108.0825,-113.858,0.0,top
U3,116.6646,-108.5386,90.0,top
U5,123.272,-78.248,0.0,top
X1,124.4146,-109.6518,270.0,top
